Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Fresno,80 - 84 years,380,06/10/2021
Death,2021,Place of Residence,Fresno,85 - 89 years,369,06/10/2021
Death,2021,Place of Residence,Fresno,90 - 94 years,324,06/10/2021
Death,2021,Place of Residence,Fresno,95 - 99 years,158,06/10/2021
Death,2021,Place of Residence,Fresno,100 years and over,26,06/10/2021
Death,2021,Place of Residence,Glenn,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Glenn,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Glenn,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Glenn,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Glenn,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Glenn,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,35 - 39 years,0,06/10/2021
Death,2021,Place of Residence,Glenn,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,55 - 59 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,60 - 64 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,65 - 69 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,70 - 74 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,75 - 79 years,11,06/10/2021
Death,2021,Place of Residence,Glenn,80 - 84 years,18,06/10/2021
Death,2021,Place of Residence,Glenn,85 - 89 years,15,06/10/2021
Death,2021,Place of Residence,Glenn,90 - 94 years,14,06/10/2021
Death,2021,Place of Residence,Glenn,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Glenn,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Humboldt,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Humboldt,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Humboldt,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Humboldt,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Humboldt,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Humboldt,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Humboldt,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Humboldt,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Humboldt,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Humboldt,40 - 44 years,16,06/10/2021
Death,2021,Place of Residence,Humboldt,45 - 49 years,11,06/10/2021
Death,2021,Place of Residence,Humboldt,50 - 54 years,24,06/10/2021
Death,2021,Place of Residence,Humboldt,55 - 59 years,27,06/10/2021
Death,2021,Place of Residence,Humboldt,60 - 64 years,47,06/10/2021
Death,2021,Place of Residence,Humboldt,65 - 69 years,51,06/10/2021
Death,2021,Place of Residence,Humboldt,70 - 74 years,63,06/10/2021
Death,2021,Place of Residence,Humboldt,75 - 79 years,60,06/10/2021
Death,2021,Place of Residence,Humboldt,80 - 84 years,63,06/10/2021
Death,2021,Place of Residence,Humboldt,85 - 89 years,65,06/10/2021
Death,2021,Place of Residence,Humboldt,90 - 94 years,41,06/10/2021
Death,2021,Place of Residence,Humboldt,95 - 99 years,20,06/10/2021
Death,2021,Place of Residence,Humboldt,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Imperial,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Imperial,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Imperial,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Imperial,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Imperial,15 - 19 years,<11,06/10/2021
Death,2021,Place of Residence,Imperial,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Imperial,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Imperial,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Imperial,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Imperial,40 - 44 years,13,06/10/2021
Death,2021,Place of Residence,Imperial,45 - 49 years,22,06/10/2021
Death,2021,Place of Residence,Imperial,50 - 54 years,21,06/10/2021
Death,2021,Place of Residence,Imperial,55 - 59 years,49,06/10/2021
Death,2021,Place of Residence,Imperial,60 - 64 years,50,06/10/2021
Death,2021,Place of Residence,Imperial,65 - 69 years,61,06/10/2021
Death,2021,Place of Residence,Imperial,70 - 74 years,79,06/10/2021
Death,2021,Place of Residence,Imperial,75 - 79 years,63,06/10/2021
Death,2021,Place of Residence,Imperial,80 - 84 years,85,06/10/2021
Death,2021,Place of Residence,Imperial,85 - 89 years,72,06/10/2021
Death,2021,Place of Residence,Imperial,90 - 94 years,50,06/10/2021
Death,2021,Place of Residence,Imperial,95 - 99 years,15,06/10/2021
Death,2021,Place of Residence,Imperial,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Inyo,Less than 1 year,<11,06/10/2021
Death,2021,Place of Residence,Inyo,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,20 - 24 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,25 - 29 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,40 - 44 years,0,06/10/2021
Death,2021,Place of Residence,Inyo,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,50 - 54 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,55 - 59 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,60 - 64 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,65 - 69 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,70 - 74 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,75 - 79 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,80 - 84 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,85 - 89 years,12,06/10/2021
Death,2021,Place of Residence,Inyo,90 - 94 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,95 - 99 years,<11,06/10/2021
Death,2021,Place of Residence,Inyo,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Kern,Less than 1 year,19,06/10/2021
Death,2021,Place of Residence,Kern,1 - 4 years,<11,06/10/2021
Death,2021,Place of Residence,Kern,5 - 9 years,<11,06/10/2021
Death,2021,Place of Residence,Kern,10 - 14 years,<11,06/10/2021
Death,2021,Place of Residence,Kern,15 - 19 years,19,06/10/2021
Death,2021,Place of Residence,Kern,20 - 24 years,34,06/10/2021
Death,2021,Place of Residence,Kern,25 - 29 years,40,06/10/2021
Death,2021,Place of Residence,Kern,30 - 34 years,60,06/10/2021
