Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alpine,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,40 - 44 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,45 - 49 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,50 - 54 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,55 - 59 years,Widowed,0,06/10/2021
