Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Sex,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Colusa,45 - 49 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,50 - 54 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,50 - 54 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,55 - 59 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,55 - 59 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,60 - 64 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,60 - 64 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,65 - 69 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,65 - 69 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,70 - 74 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,70 - 74 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,75 - 79 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,75 - 79 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,80 - 84 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,80 - 84 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,85 - 89 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,85 - 89 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,90 - 94 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,90 - 94 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,95 - 99 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,95 - 99 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,100 years and over,Female,<11,06/10/2021
Death,2021,Place of Residence,Colusa,100 years and over,Male,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,Less than 1 year,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,Less than 1 year,Male,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,1 - 4 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,1 - 4 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,5 - 9 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,5 - 9 years,Male,0,06/10/2021
Death,2021,Place of Residence,Contra Costa,10 - 14 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Contra Costa,15 - 19 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,15 - 19 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,20 - 24 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,20 - 24 years,Male,20,06/10/2021
Death,2021,Place of Residence,Contra Costa,25 - 29 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Contra Costa,25 - 29 years,Male,29,06/10/2021
Death,2021,Place of Residence,Contra Costa,30 - 34 years,Female,12,06/10/2021
Death,2021,Place of Residence,Contra Costa,30 - 34 years,Male,30,06/10/2021
Death,2021,Place of Residence,Contra Costa,35 - 39 years,Female,14,06/10/2021
Death,2021,Place of Residence,Contra Costa,35 - 39 years,Male,33,06/10/2021
Death,2021,Place of Residence,Contra Costa,40 - 44 years,Female,18,06/10/2021
Death,2021,Place of Residence,Contra Costa,40 - 44 years,Male,34,06/10/2021
Death,2021,Place of Residence,Contra Costa,45 - 49 years,Female,20,06/10/2021
Death,2021,Place of Residence,Contra Costa,45 - 49 years,Male,47,06/10/2021
Death,2021,Place of Residence,Contra Costa,50 - 54 years,Female,41,06/10/2021
Death,2021,Place of Residence,Contra Costa,50 - 54 years,Male,76,06/10/2021
Death,2021,Place of Residence,Contra Costa,55 - 59 years,Female,45,06/10/2021
Death,2021,Place of Residence,Contra Costa,55 - 59 years,Male,105,06/10/2021
