County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
Calaveras,60 - 64 years,14,60,40,117,50,78,30,12,0,36,12,24,0,0,219,24,229,24,72,113,36,18,30,85,147,196,18,45,rural,0,1,0
Calaveras,65 - 69 years,15,60,60,135,60,106,40,6,12,36,30,18,6,0,300,36,306,30,84,167,36,12,36,121,203,231,24,81,rural,0,1,0
Calaveras,70 - 74 years,16,60,60,163,60,106,40,18,24,30,18,24,6,0,346,30,356,24,85,217,36,18,44,142,236,239,18,134,rural,0,1,0
Calaveras,75 - 79 years,17,64,50,166,60,109,50,18,6,36,12,18,0,0,379,36,371,18,60,226,36,6,103,156,251,261,24,142,rural,0,1,0
Calaveras,80 - 84 years,18,63,60,182,69,110,20,18,12,36,18,24,0,0,406,36,406,12,55,214,18,6,158,181,255,248,12,186,rural,0,1,0
Calaveras,85 - 89 years,19,60,50,176,73,77,10,12,0,36,18,24,0,0,358,36,362,6,36,143,24,0,190,197,185,243,6,137,rural,0,1,0
Calaveras,90 - 94 years,20,60,60,118,64,70,20,6,6,30,24,6,0,6,266,36,272,12,36,63,18,6,196,168,118,176,12,104,rural,0,1,0
Calaveras,95 - 99 years,21,50,30,63,60,50,10,0,6,24,6,6,0,0,108,12,113,0,30,30,0,0,96,86,36,89,0,36,rural,0,1,0
Calaveras,100 years and over,22,10,30,60,30,20,0,0,0,6,6,0,0,0,36,6,36,0,0,0,6,0,36,36,30,36,0,12,rural,0,1,0
Colusa,Less than 1 year,1,0,0,0,40,0,0,0,0,18,0,0,0,0,12,0,24,0,0,0,24,0,0,12,24,24,0,0,rural,0,1,0
Colusa,1 - 4 years,2,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
Colusa,5 - 9 years,3,0,0,0,20,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,12,0,0,rural,0,1,0
Colusa,10 - 14 years,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
Colusa,15 - 19 years,5,0,0,20,30,10,0,0,0,18,0,6,0,0,6,6,24,0,0,0,24,0,0,12,18,24,0,0,rural,0,1,0
Colusa,20 - 24 years,6,0,0,20,20,30,0,0,0,18,0,6,0,0,12,12,24,0,0,0,24,0,6,12,24,24,0,0,rural,0,1,0
Colusa,25 - 29 years,7,0,0,30,20,10,0,0,0,18,0,0,0,0,12,12,24,0,0,6,24,0,6,12,24,24,0,0,rural,0,1,0
