Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran,age_cat,veteran_cat,Description
2014,Colusa,80 - 84 years,Unknown,0,18,2,rural
2014,Colusa,80 - 84 years,Yes,6,18,3,rural
2014,Colusa,80 - 84 years,No,6,18,1,rural
2014,Colusa,85 - 89 years,No,6,19,1,rural
2014,Colusa,85 - 89 years,Yes,13,19,3,rural
2014,Colusa,85 - 89 years,Unknown,0,19,2,rural
2014,Colusa,90 - 94 years,Yes,6,20,3,rural
2014,Colusa,90 - 94 years,Unknown,0,20,2,rural
2014,Colusa,90 - 94 years,No,6,20,1,rural
2014,Colusa,95 - 99 years,No,6,21,1,rural
2014,Colusa,95 - 99 years,Unknown,0,21,2,rural
2014,Colusa,95 - 99 years,Yes,0,21,3,rural
2014,Colusa,100 years and over,No,6,22,1,rural
2014,Colusa,100 years and over,Yes,0,22,3,rural
2014,Colusa,100 years and over,Unknown,0,22,2,rural
2014,Contra Costa,Less than 1 year,Yes,0,1,3,urban
2014,Contra Costa,Less than 1 year,Unknown,0,1,2,urban
2014,Contra Costa,Less than 1 year,No,48,1,1,urban
2014,Contra Costa,1 - 4 years,No,6,2,1,urban
2014,Contra Costa,1 - 4 years,Unknown,0,2,2,urban
2014,Contra Costa,1 - 4 years,Yes,0,2,3,urban
2014,Contra Costa,5 - 9 years,Yes,0,3,3,urban
2014,Contra Costa,5 - 9 years,No,6,3,1,urban
2014,Contra Costa,5 - 9 years,Unknown,0,3,2,urban
2014,Contra Costa,10 - 14 years,Yes,0,4,3,urban
2014,Contra Costa,10 - 14 years,Unknown,0,4,2,urban
2014,Contra Costa,10 - 14 years,No,6,4,1,urban
2014,Contra Costa,15 - 19 years,Unknown,6,5,2,urban
2014,Contra Costa,15 - 19 years,No,29,5,1,urban
2014,Contra Costa,15 - 19 years,Yes,0,5,3,urban
2014,Contra Costa,20 - 24 years,No,65,6,1,urban
2014,Contra Costa,20 - 24 years,Unknown,6,6,2,urban
2014,Contra Costa,20 - 24 years,Yes,0,6,3,urban
2014,Contra Costa,25 - 29 years,Unknown,0,7,2,urban
2014,Contra Costa,25 - 29 years,No,51,7,1,urban
2014,Contra Costa,25 - 29 years,Yes,6,7,3,urban
2014,Contra Costa,30 - 34 years,No,68,8,1,urban
2014,Contra Costa,30 - 34 years,Unknown,0,8,2,urban
2014,Contra Costa,30 - 34 years,Yes,6,8,3,urban
2014,Contra Costa,35 - 39 years,No,54,9,1,urban
2014,Contra Costa,35 - 39 years,Unknown,0,9,2,urban
2014,Contra Costa,35 - 39 years,Yes,6,9,3,urban
2014,Contra Costa,40 - 44 years,Yes,6,10,3,urban
2014,Contra Costa,40 - 44 years,Unknown,6,10,2,urban
2014,Contra Costa,40 - 44 years,No,102,10,1,urban
2014,Contra Costa,45 - 49 years,No,150,11,1,urban
2014,Contra Costa,45 - 49 years,Unknown,0,11,2,urban
2014,Contra Costa,45 - 49 years,Yes,6,11,3,urban
2014,Contra Costa,50 - 54 years,Yes,22,12,3,urban
2014,Contra Costa,50 - 54 years,No,269,12,1,urban
2014,Contra Costa,50 - 54 years,Unknown,6,12,2,urban
2014,Contra Costa,55 - 59 years,Yes,36,13,3,urban
2014,Contra Costa,55 - 59 years,No,360,13,1,urban
2014,Contra Costa,55 - 59 years,Unknown,6,13,2,urban
2014,Contra Costa,60 - 64 years,Yes,55,14,3,urban
2014,Contra Costa,60 - 64 years,Unknown,6,14,2,urban
2014,Contra Costa,60 - 64 years,No,414,14,1,urban
2014,Contra Costa,65 - 69 years,No,432,15,1,urban
2014,Contra Costa,65 - 69 years,Unknown,6,15,2,urban
2014,Contra Costa,65 - 69 years,Yes,136,15,3,urban
2014,Contra Costa,70 - 74 years,Unknown,6,16,2,urban
2014,Contra Costa,70 - 74 years,Yes,143,16,3,urban
2014,Contra Costa,70 - 74 years,No,466,16,1,urban
2014,Contra Costa,75 - 79 years,Yes,188,17,3,urban
2014,Contra Costa,75 - 79 years,No,553,17,1,urban
2014,Contra Costa,75 - 79 years,Unknown,6,17,2,urban
2014,Contra Costa,80 - 84 years,Yes,322,18,3,urban
2014,Contra Costa,80 - 84 years,No,619,18,1,urban
2014,Contra Costa,80 - 84 years,Unknown,6,18,2,urban
2014,Contra Costa,85 - 89 years,Unknown,6,19,2,urban
2014,Contra Costa,85 - 89 years,No,752,19,1,urban
2014,Contra Costa,85 - 89 years,Yes,345,19,3,urban
2014,Contra Costa,90 - 94 years,Yes,331,20,3,urban
2014,Contra Costa,90 - 94 years,Unknown,6,20,2,urban
2014,Contra Costa,90 - 94 years,No,745,20,1,urban
2014,Contra Costa,95 - 99 years,Yes,79,21,3,urban
2014,Contra Costa,95 - 99 years,Unknown,6,21,2,urban
2014,Contra Costa,95 - 99 years,No,325,21,1,urban
2014,Contra Costa,100 years and over,Yes,6,22,3,urban
2014,Contra Costa,100 years and over,Unknown,6,22,2,urban
2014,Contra Costa,100 years and over,No,101,22,1,urban
2014,Del Norte,Less than 1 year,Unknown,0,1,2,rural
2014,Del Norte,Less than 1 year,No,6,1,1,rural
2014,Del Norte,Less than 1 year,Yes,0,1,3,rural
2014,Del Norte,1 - 4 years,Yes,0,2,3,rural
2014,Del Norte,1 - 4 years,Unknown,0,2,2,rural
2014,Del Norte,1 - 4 years,No,0,2,1,rural
2014,Del Norte,5 - 9 years,No,0,3,1,rural
2014,Del Norte,5 - 9 years,Unknown,0,3,2,rural
2014,Del Norte,5 - 9 years,Yes,0,3,3,rural
2014,Del Norte,10 - 14 years,No,6,4,1,rural
2014,Del Norte,10 - 14 years,Unknown,0,4,2,rural
2014,Del Norte,10 - 14 years,Yes,0,4,3,rural
2014,Del Norte,15 - 19 years,Unknown,0,5,2,rural
2014,Del Norte,15 - 19 years,No,0,5,1,rural
2014,Del Norte,15 - 19 years,Yes,0,5,3,rural
