Year_of_Death,County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
2014,Colusa,70 - 74 years,16,10,10,10,0,10,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,6,6,6,6,0,6,rural,0,1,0
2014,Colusa,75 - 79 years,17,10,0,10,10,10,10,6,0,6,0,6,0,0,6,6,12,6,6,6,6,0,6,6,13,6,6,6,rural,0,1,0
2014,Colusa,80 - 84 years,18,10,0,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,0,6,0,0,6,6,6,6,0,6,rural,0,1,0
2014,Colusa,85 - 89 years,19,10,10,10,10,10,0,0,0,6,0,0,0,0,20,6,20,0,0,13,0,0,6,6,16,6,0,13,rural,0,1,0
2014,Colusa,90 - 94 years,20,0,0,10,10,10,10,0,0,6,0,0,0,0,6,6,6,0,6,6,0,0,6,6,6,6,0,6,rural,0,1,0
2014,Colusa,95 - 99 years,21,0,10,10,0,10,0,0,0,6,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6,6,0,0,rural,0,1,0
2014,Colusa,100 years and over,22,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,0,6,0,0,rural,0,1,0
2014,Contra Costa,Less than 1 year,1,0,0,0,48,0,0,6,12,22,6,0,6,0,6,0,48,0,0,0,48,0,0,20,28,48,0,0,urban,1,0,0
2014,Contra Costa,1 - 4 years,2,0,0,0,10,0,0,6,6,6,0,0,0,6,0,0,6,0,0,0,6,0,0,6,6,6,0,0,urban,1,0,0
2014,Contra Costa,5 - 9 years,3,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,urban,1,0,0
2014,Contra Costa,10 - 14 years,4,0,0,0,10,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,urban,1,0,0
