Year_of_Death,County_of_Residence,Age,Education_level,Total_Deaths_Education,age_cat,education_cat,Description
2014,Alpine,65 - 69 years,Graduate Degree,10,15,2,rural
2014,Alpine,65 - 69 years,Unknown,0,15,6,rural
2014,Alpine,65 - 69 years,Bachelor's Degree,10,15,1,rural
2014,Alpine,70 - 74 years,Bachelor's Degree,0,16,1,rural
2014,Alpine,70 - 74 years,Less than High School,0,16,4,rural
2014,Alpine,70 - 74 years,Graduate Degree,0,16,2,rural
2014,Alpine,70 - 74 years,High School Graduate or GED Completed,0,16,3,rural
2014,Alpine,70 - 74 years,"Some College Credit, No 4-Year Degree",0,16,5,rural
2014,Alpine,70 - 74 years,Unknown,0,16,6,rural
2014,Alpine,75 - 79 years,Less than High School,0,17,4,rural
2014,Alpine,75 - 79 years,Graduate Degree,0,17,2,rural
2014,Alpine,75 - 79 years,High School Graduate or GED Completed,10,17,3,rural
2014,Alpine,75 - 79 years,Bachelor's Degree,0,17,1,rural
2014,Alpine,75 - 79 years,"Some College Credit, No 4-Year Degree",0,17,5,rural
2014,Alpine,75 - 79 years,Unknown,0,17,6,rural
2014,Alpine,80 - 84 years,Graduate Degree,0,18,2,rural
2014,Alpine,80 - 84 years,Bachelor's Degree,10,18,1,rural
2014,Alpine,80 - 84 years,Less than High School,0,18,4,rural
2014,Alpine,80 - 84 years,"Some College Credit, No 4-Year Degree",0,18,5,rural
2014,Alpine,80 - 84 years,High School Graduate or GED Completed,0,18,3,rural
2014,Alpine,80 - 84 years,Unknown,0,18,6,rural
2014,Alpine,85 - 89 years,"Some College Credit, No 4-Year Degree",0,19,5,rural
2014,Alpine,85 - 89 years,Less than High School,0,19,4,rural
2014,Alpine,85 - 89 years,Unknown,0,19,6,rural
2014,Alpine,85 - 89 years,Graduate Degree,0,19,2,rural
2014,Alpine,85 - 89 years,High School Graduate or GED Completed,10,19,3,rural
2014,Alpine,85 - 89 years,Bachelor's Degree,0,19,1,rural
2014,Alpine,90 - 94 years,Unknown,0,20,6,rural
2014,Alpine,90 - 94 years,High School Graduate or GED Completed,0,20,3,rural
2014,Alpine,90 - 94 years,Bachelor's Degree,0,20,1,rural
2014,Alpine,90 - 94 years,Less than High School,0,20,4,rural
2014,Alpine,90 - 94 years,"Some College Credit, No 4-Year Degree",10,20,5,rural
2014,Alpine,90 - 94 years,Graduate Degree,0,20,2,rural
2014,Alpine,95 - 99 years,Graduate Degree,0,21,2,rural
2014,Alpine,95 - 99 years,"Some College Credit, No 4-Year Degree",0,21,5,rural
2014,Alpine,95 - 99 years,Bachelor's Degree,0,21,1,rural
2014,Alpine,95 - 99 years,Unknown,0,21,6,rural
2014,Alpine,95 - 99 years,Less than High School,0,21,4,rural
2014,Alpine,95 - 99 years,High School Graduate or GED Completed,0,21,3,rural
2014,Alpine,100 years and over,Less than High School,0,22,4,rural
2014,Alpine,100 years and over,"Some College Credit, No 4-Year Degree",0,22,5,rural
2014,Alpine,100 years and over,Graduate Degree,0,22,2,rural
2014,Alpine,100 years and over,Bachelor's Degree,0,22,1,rural
2014,Alpine,100 years and over,High School Graduate or GED Completed,0,22,3,rural
2014,Alpine,100 years and over,Unknown,0,22,6,rural
2014,Amador,Less than 1 year,Less than High School,10,1,4,rural
2014,Amador,Less than 1 year,Unknown,0,1,6,rural
2014,Amador,Less than 1 year,Graduate Degree,0,1,2,rural
2014,Amador,Less than 1 year,"Some College Credit, No 4-Year Degree",0,1,5,rural
2014,Amador,Less than 1 year,High School Graduate or GED Completed,0,1,3,rural
2014,Amador,Less than 1 year,Bachelor's Degree,0,1,1,rural
2014,Amador,1 - 4 years,Less than High School,0,2,4,rural
2014,Amador,1 - 4 years,Graduate Degree,0,2,2,rural
2014,Amador,1 - 4 years,High School Graduate or GED Completed,0,2,3,rural
2014,Amador,1 - 4 years,Bachelor's Degree,0,2,1,rural
2014,Amador,1 - 4 years,"Some College Credit, No 4-Year Degree",0,2,5,rural
2014,Amador,1 - 4 years,Unknown,0,2,6,rural
2014,Amador,5 - 9 years,Less than High School,0,3,4,rural
2014,Amador,5 - 9 years,High School Graduate or GED Completed,0,3,3,rural
2014,Amador,5 - 9 years,Unknown,0,3,6,rural
2014,Amador,5 - 9 years,Graduate Degree,0,3,2,rural
2014,Amador,5 - 9 years,"Some College Credit, No 4-Year Degree",0,3,5,rural
2014,Amador,5 - 9 years,Bachelor's Degree,0,3,1,rural
2014,Amador,10 - 14 years,Less than High School,0,4,4,rural
2014,Amador,10 - 14 years,"Some College Credit, No 4-Year Degree",0,4,5,rural
2014,Amador,10 - 14 years,High School Graduate or GED Completed,0,4,3,rural
2014,Amador,10 - 14 years,Unknown,0,4,6,rural
2014,Amador,10 - 14 years,Bachelor's Degree,0,4,1,rural
