Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex,age_cat,sex_cat,Description
2014,Colusa,20 - 24 years,Female,0,6,1,rural
2014,Colusa,25 - 29 years,Female,6,7,1,rural
2014,Colusa,25 - 29 years,Male,6,7,2,rural
2014,Colusa,30 - 34 years,Male,6,8,2,rural
2014,Colusa,30 - 34 years,Female,0,8,1,rural
2014,Colusa,35 - 39 years,Male,6,9,2,rural
2014,Colusa,35 - 39 years,Female,0,9,1,rural
2014,Colusa,40 - 44 years,Female,6,10,1,rural
2014,Colusa,40 - 44 years,Male,6,10,2,rural
2014,Colusa,45 - 49 years,Male,0,11,2,rural
2014,Colusa,45 - 49 years,Female,6,11,1,rural
2014,Colusa,50 - 54 years,Male,6,12,2,rural
2014,Colusa,50 - 54 years,Female,6,12,1,rural
2014,Colusa,55 - 59 years,Female,6,13,1,rural
2014,Colusa,55 - 59 years,Male,6,13,2,rural
2014,Colusa,60 - 64 years,Male,6,14,2,rural
2014,Colusa,60 - 64 years,Female,6,14,1,rural
2014,Colusa,65 - 69 years,Male,6,15,2,rural
2014,Colusa,65 - 69 years,Female,6,15,1,rural
2014,Colusa,70 - 74 years,Female,6,16,1,rural
2014,Colusa,70 - 74 years,Male,6,16,2,rural
2014,Colusa,75 - 79 years,Female,6,17,1,rural
2014,Colusa,75 - 79 years,Male,13,17,2,rural
2014,Colusa,80 - 84 years,Female,6,18,1,rural
2014,Colusa,80 - 84 years,Male,6,18,2,rural
2014,Colusa,85 - 89 years,Male,16,19,2,rural
2014,Colusa,85 - 89 years,Female,6,19,1,rural
2014,Colusa,90 - 94 years,Female,6,20,1,rural
2014,Colusa,90 - 94 years,Male,6,20,2,rural
2014,Colusa,95 - 99 years,Female,6,21,1,rural
2014,Colusa,95 - 99 years,Male,6,21,2,rural
2014,Colusa,100 years and over,Female,6,22,1,rural
2014,Colusa,100 years and over,Male,0,22,2,rural
2014,Contra Costa,Less than 1 year,Male,28,1,2,urban
2014,Contra Costa,Less than 1 year,Female,20,1,1,urban
2014,Contra Costa,1 - 4 years,Female,6,2,1,urban
2014,Contra Costa,1 - 4 years,Male,6,2,2,urban
2014,Contra Costa,5 - 9 years,Male,6,3,2,urban
2014,Contra Costa,5 - 9 years,Female,6,3,1,urban
2014,Contra Costa,10 - 14 years,Female,6,4,1,urban
2014,Contra Costa,10 - 14 years,Male,6,4,2,urban
2014,Contra Costa,15 - 19 years,Male,20,5,2,urban
2014,Contra Costa,15 - 19 years,Female,6,5,1,urban
2014,Contra Costa,20 - 24 years,Male,55,6,2,urban
2014,Contra Costa,20 - 24 years,Female,12,6,1,urban
2014,Contra Costa,25 - 29 years,Male,39,7,2,urban
2014,Contra Costa,25 - 29 years,Female,14,7,1,urban
2014,Contra Costa,30 - 34 years,Male,48,8,2,urban
2014,Contra Costa,30 - 34 years,Female,21,8,1,urban
2014,Contra Costa,35 - 39 years,Male,39,9,2,urban
2014,Contra Costa,35 - 39 years,Female,16,9,1,urban
2014,Contra Costa,40 - 44 years,Female,58,10,1,urban
2014,Contra Costa,40 - 44 years,Male,51,10,2,urban
2014,Contra Costa,45 - 49 years,Male,91,11,2,urban
2014,Contra Costa,45 - 49 years,Female,68,11,1,urban
2014,Contra Costa,50 - 54 years,Male,186,12,2,urban
2014,Contra Costa,50 - 54 years,Female,106,12,1,urban
2014,Contra Costa,55 - 59 years,Female,162,13,1,urban
2014,Contra Costa,55 - 59 years,Male,235,13,2,urban
2014,Contra Costa,60 - 64 years,Female,185,14,1,urban
2014,Contra Costa,60 - 64 years,Male,289,14,2,urban
2014,Contra Costa,65 - 69 years,Female,268,15,1,urban
2014,Contra Costa,65 - 69 years,Male,306,15,2,urban
2014,Contra Costa,70 - 74 years,Male,353,16,2,urban
2014,Contra Costa,70 - 74 years,Female,260,16,1,urban
2014,Contra Costa,75 - 79 years,Male,367,17,2,urban
2014,Contra Costa,75 - 79 years,Female,379,17,1,urban
2014,Contra Costa,80 - 84 years,Female,466,18,1,urban
2014,Contra Costa,80 - 84 years,Male,481,18,2,urban
2014,Contra Costa,85 - 89 years,Female,626,19,1,urban
2014,Contra Costa,85 - 89 years,Male,474,19,2,urban
2014,Contra Costa,90 - 94 years,Male,389,20,2,urban
2014,Contra Costa,90 - 94 years,Female,694,20,1,urban
2014,Contra Costa,95 - 99 years,Female,283,21,1,urban
2014,Contra Costa,95 - 99 years,Male,124,21,2,urban
2014,Contra Costa,100 years and over,Female,84,22,1,urban
2014,Contra Costa,100 years and over,Male,25,22,2,urban
2014,Del Norte,Less than 1 year,Female,6,1,1,rural
2014,Del Norte,Less than 1 year,Male,0,1,2,rural
2014,Del Norte,1 - 4 years,Male,0,2,2,rural
2014,Del Norte,1 - 4 years,Female,0,2,1,rural
2014,Del Norte,5 - 9 years,Male,0,3,2,rural
2014,Del Norte,5 - 9 years,Female,0,3,1,rural
2014,Del Norte,10 - 14 years,Female,6,4,1,rural
2014,Del Norte,10 - 14 years,Male,0,4,2,rural
2014,Del Norte,15 - 19 years,Female,0,5,1,rural
2014,Del Norte,15 - 19 years,Male,0,5,2,rural
2014,Del Norte,20 - 24 years,Female,0,6,1,rural
2014,Del Norte,20 - 24 years,Male,6,6,2,rural
2014,Del Norte,25 - 29 years,Male,6,7,2,rural
2014,Del Norte,25 - 29 years,Female,6,7,1,rural
2014,Del Norte,30 - 34 years,Male,6,8,2,rural
2014,Del Norte,30 - 34 years,Female,6,8,1,rural
2014,Del Norte,35 - 39 years,Male,6,9,2,rural
2014,Del Norte,35 - 39 years,Female,0,9,1,rural
2014,Del Norte,40 - 44 years,Male,0,10,2,rural
2014,Del Norte,40 - 44 years,Female,6,10,1,rural
2014,Del Norte,45 - 49 years,Male,6,11,2,rural
2014,Del Norte,45 - 49 years,Female,6,11,1,rural
2014,Del Norte,50 - 54 years,Male,6,12,2,rural
2014,Del Norte,50 - 54 years,Female,6,12,1,rural
2014,Del Norte,55 - 59 years,Male,14,13,2,rural
2014,Del Norte,55 - 59 years,Female,6,13,1,rural
2014,Del Norte,60 - 64 years,Female,6,14,1,rural
2014,Del Norte,60 - 64 years,Male,18,14,2,rural
2014,Del Norte,65 - 69 years,Male,16,15,2,rural
2014,Del Norte,65 - 69 years,Female,11,15,1,rural
2014,Del Norte,70 - 74 years,Male,11,16,2,rural
2014,Del Norte,70 - 74 years,Female,20,16,1,rural
2014,Del Norte,75 - 79 years,Male,20,17,2,rural
2014,Del Norte,75 - 79 years,Female,13,17,1,rural
2014,Del Norte,80 - 84 years,Male,18,18,2,rural
2014,Del Norte,80 - 84 years,Female,16,18,1,rural
2014,Del Norte,85 - 89 years,Male,16,19,2,rural
2014,Del Norte,85 - 89 years,Female,20,19,1,rural
2014,Del Norte,90 - 94 years,Female,13,20,1,rural
2014,Del Norte,90 - 94 years,Male,14,20,2,rural
2014,Del Norte,95 - 99 years,Female,6,21,1,rural
2014,Del Norte,95 - 99 years,Male,6,21,2,rural
2014,Del Norte,100 years and over,Female,0,22,1,rural
2014,Del Norte,100 years and over,Male,0,22,2,rural
2014,El Dorado,Less than 1 year,Female,0,1,1,rural
2014,El Dorado,Less than 1 year,Male,6,1,2,rural
2014,El Dorado,1 - 4 years,Female,0,2,1,rural
2014,El Dorado,1 - 4 years,Male,0,2,2,rural
2014,El Dorado,5 - 9 years,Female,6,3,1,rural
2014,El Dorado,5 - 9 years,Male,6,3,2,rural
2014,El Dorado,10 - 14 years,Male,6,4,2,rural
2014,El Dorado,10 - 14 years,Female,0,4,1,rural
2014,El Dorado,15 - 19 years,Male,6,5,2,rural
2014,El Dorado,15 - 19 years,Female,0,5,1,rural
2014,El Dorado,20 - 24 years,Female,6,6,1,rural
2014,El Dorado,20 - 24 years,Male,6,6,2,rural
2014,El Dorado,25 - 29 years,Male,6,7,2,rural
2014,El Dorado,25 - 29 years,Female,6,7,1,rural
2014,El Dorado,30 - 34 years,Female,6,8,1,rural
2014,El Dorado,30 - 34 years,Male,6,8,2,rural
2014,El Dorado,35 - 39 years,Male,6,9,2,rural
2014,El Dorado,35 - 39 years,Female,6,9,1,rural
2014,El Dorado,40 - 44 years,Male,11,10,2,rural
2014,El Dorado,40 - 44 years,Female,6,10,1,rural
2014,El Dorado,45 - 49 years,Male,26,11,2,rural
2014,El Dorado,45 - 49 years,Female,11,11,1,rural
2014,El Dorado,50 - 54 years,Male,31,12,2,rural
2014,El Dorado,50 - 54 years,Female,16,12,1,rural
2014,El Dorado,55 - 59 years,Female,32,13,1,rural
2014,El Dorado,55 - 59 years,Male,50,13,2,rural
2014,El Dorado,60 - 64 years,Female,39,14,1,rural
2014,El Dorado,60 - 64 years,Male,64,14,2,rural
2014,El Dorado,65 - 69 years,Female,46,15,1,rural
2014,El Dorado,65 - 69 years,Male,93,15,2,rural
2014,El Dorado,70 - 74 years,Male,90,16,2,rural
2014,El Dorado,70 - 74 years,Female,55,16,1,rural
2014,El Dorado,75 - 79 years,Male,94,17,2,rural
2014,El Dorado,75 - 79 years,Female,44,17,1,rural
2014,El Dorado,80 - 84 years,Female,88,18,1,rural
2014,El Dorado,80 - 84 years,Male,98,18,2,rural
2014,El Dorado,85 - 89 years,Male,102,19,2,rural
2014,El Dorado,85 - 89 years,Female,98,19,1,rural
2014,El Dorado,90 - 94 years,Female,108,20,1,rural
2014,El Dorado,90 - 94 years,Male,73,20,2,rural
2014,El Dorado,95 - 99 years,Male,27,21,2,rural
2014,El Dorado,95 - 99 years,Female,46,21,1,rural
2014,El Dorado,100 years and over,Male,6,22,2,rural
2014,El Dorado,100 years and over,Female,11,22,1,rural
2014,Fresno,Less than 1 year,Female,58,1,1,urban
2014,Fresno,Less than 1 year,Male,56,1,2,urban
2014,Fresno,1 - 4 years,Male,6,2,2,urban
2014,Fresno,1 - 4 years,Female,6,2,1,urban
2014,Fresno,5 - 9 years,Female,6,3,1,urban
2014,Fresno,5 - 9 years,Male,6,3,2,urban
2014,Fresno,10 - 14 years,Male,6,4,2,urban
2014,Fresno,10 - 14 years,Female,6,4,1,urban
2014,Fresno,15 - 19 years,Male,19,5,2,urban
2014,Fresno,15 - 19 years,Female,14,5,1,urban
2014,Fresno,20 - 24 years,Female,6,6,1,urban
2014,Fresno,20 - 24 years,Male,55,6,2,urban
2014,Fresno,25 - 29 years,Female,25,7,1,urban
2014,Fresno,25 - 29 years,Male,49,7,2,urban
2014,Fresno,30 - 34 years,Male,55,8,2,urban
2014,Fresno,30 - 34 years,Female,25,8,1,urban
2014,Fresno,35 - 39 years,Female,33,9,1,urban
2014,Fresno,35 - 39 years,Male,59,9,2,urban
2014,Fresno,40 - 44 years,Male,83,10,2,urban
2014,Fresno,40 - 44 years,Female,38,10,1,urban
2014,Fresno,45 - 49 years,Male,102,11,2,urban
2014,Fresno,45 - 49 years,Female,65,11,1,urban
2014,Fresno,50 - 54 years,Male,172,12,2,urban
2014,Fresno,50 - 54 years,Female,124,12,1,urban
2014,Fresno,55 - 59 years,Male,236,13,2,urban
2014,Fresno,55 - 59 years,Female,151,13,1,urban
2014,Fresno,60 - 64 years,Male,293,14,2,urban
2014,Fresno,60 - 64 years,Female,187,14,1,urban
2014,Fresno,65 - 69 years,Female,212,15,1,urban
2014,Fresno,65 - 69 years,Male,294,15,2,urban
2014,Fresno,70 - 74 years,Male,315,16,2,urban
2014,Fresno,70 - 74 years,Female,252,16,1,urban
2014,Fresno,75 - 79 years,Female,272,17,1,urban
2014,Fresno,75 - 79 years,Male,324,17,2,urban
2014,Fresno,80 - 84 years,Female,425,18,1,urban
2014,Fresno,80 - 84 years,Male,392,18,2,urban
2014,Fresno,85 - 89 years,Female,489,19,1,urban
2014,Fresno,85 - 89 years,Male,388,19,2,urban
2014,Fresno,90 - 94 years,Female,468,20,1,urban
2014,Fresno,90 - 94 years,Male,276,20,2,urban
2014,Fresno,95 - 99 years,Male,78,21,2,urban
2014,Fresno,95 - 99 years,Female,181,21,1,urban
2014,Fresno,100 years and over,Female,44,22,1,urban
2014,Fresno,100 years and over,Male,13,22,2,urban
2014,Glenn,Less than 1 year,Female,6,1,1,rural
2014,Glenn,Less than 1 year,Male,0,1,2,rural
2014,Glenn,1 - 4 years,Female,0,2,1,rural
2014,Glenn,1 - 4 years,Male,0,2,2,rural
2014,Glenn,5 - 9 years,Female,0,3,1,rural
2014,Glenn,5 - 9 years,Male,0,3,2,rural
2014,Glenn,10 - 14 years,Male,0,4,2,rural
2014,Glenn,10 - 14 years,Female,6,4,1,rural
2014,Glenn,15 - 19 years,Female,6,5,1,rural
2014,Glenn,15 - 19 years,Male,0,5,2,rural
2014,Glenn,20 - 24 years,Male,0,6,2,rural
2014,Glenn,20 - 24 years,Female,6,6,1,rural
2014,Glenn,25 - 29 years,Male,6,7,2,rural
2014,Glenn,25 - 29 years,Female,0,7,1,rural
2014,Glenn,30 - 34 years,Female,6,8,1,rural
2014,Glenn,30 - 34 years,Male,6,8,2,rural
2014,Glenn,35 - 39 years,Female,0,9,1,rural
2014,Glenn,35 - 39 years,Male,6,9,2,rural
2014,Glenn,40 - 44 years,Male,6,10,2,rural
2014,Glenn,40 - 44 years,Female,0,10,1,rural
2014,Glenn,45 - 49 years,Male,6,11,2,rural
2014,Glenn,45 - 49 years,Female,0,11,1,rural
2014,Glenn,50 - 54 years,Female,6,12,1,rural
2014,Glenn,50 - 54 years,Male,6,12,2,rural
2014,Glenn,55 - 59 years,Male,6,13,2,rural
2014,Glenn,55 - 59 years,Female,6,13,1,rural
2014,Glenn,60 - 64 years,Male,11,14,2,rural
2014,Glenn,60 - 64 years,Female,13,14,1,rural
2014,Glenn,65 - 69 years,Male,6,15,2,rural
2014,Glenn,65 - 69 years,Female,6,15,1,rural
2014,Glenn,70 - 74 years,Female,13,16,1,rural
2014,Glenn,70 - 74 years,Male,19,16,2,rural
2014,Glenn,75 - 79 years,Male,6,17,2,rural
2014,Glenn,75 - 79 years,Female,13,17,1,rural
2014,Glenn,80 - 84 years,Male,21,18,2,rural
2014,Glenn,80 - 84 years,Female,20,18,1,rural
2014,Glenn,85 - 89 years,Female,20,19,1,rural
2014,Glenn,85 - 89 years,Male,13,19,2,rural
2014,Glenn,90 - 94 years,Female,13,20,1,rural
2014,Glenn,90 - 94 years,Male,6,20,2,rural
2014,Glenn,95 - 99 years,Female,6,21,1,rural
2014,Glenn,95 - 99 years,Male,6,21,2,rural
2014,Glenn,100 years and over,Female,6,22,1,rural
2014,Glenn,100 years and over,Male,6,22,2,rural
2014,Humboldt,Less than 1 year,Male,6,1,2,rural
2014,Humboldt,Less than 1 year,Female,6,1,1,rural
2014,Humboldt,1 - 4 years,Female,6,2,1,rural
