Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran
2021,Del Norte,20 - 24 years,Yes,0
2021,Del Norte,25 - 29 years,No,6
2021,Del Norte,25 - 29 years,Unknown,0
2021,Del Norte,25 - 29 years,Yes,0
2021,Del Norte,30 - 34 years,No,6
2021,Del Norte,30 - 34 years,Unknown,0
2021,Del Norte,30 - 34 years,Yes,0
2021,Del Norte,35 - 39 years,No,6
2021,Del Norte,35 - 39 years,Unknown,0
2021,Del Norte,35 - 39 years,Yes,0
2021,Del Norte,40 - 44 years,No,6
2021,Del Norte,40 - 44 years,Unknown,0
2021,Del Norte,40 - 44 years,Yes,0
2021,Del Norte,45 - 49 years,No,6
2021,Del Norte,45 - 49 years,Unknown,0
2021,Del Norte,45 - 49 years,Yes,0
2021,Del Norte,50 - 54 years,No,6
2021,Del Norte,50 - 54 years,Unknown,0
2021,Del Norte,50 - 54 years,Yes,0
2021,Del Norte,55 - 59 years,No,6
2021,Del Norte,55 - 59 years,Unknown,0
2021,Del Norte,55 - 59 years,Yes,6
2021,Del Norte,60 - 64 years,No,14
2021,Del Norte,60 - 64 years,Unknown,0
2021,Del Norte,60 - 64 years,Yes,6
2021,Del Norte,65 - 69 years,No,6
2021,Del Norte,65 - 69 years,Unknown,0
2021,Del Norte,65 - 69 years,Yes,0
2021,Del Norte,70 - 74 years,No,11
2021,Del Norte,70 - 74 years,Unknown,0
2021,Del Norte,70 - 74 years,Yes,6
2021,Del Norte,75 - 79 years,No,6
2021,Del Norte,75 - 79 years,Unknown,6
2021,Del Norte,75 - 79 years,Yes,6
2021,Del Norte,80 - 84 years,No,6
2021,Del Norte,80 - 84 years,Unknown,0
2021,Del Norte,80 - 84 years,Yes,6
2021,Del Norte,85 - 89 years,No,6
2021,Del Norte,85 - 89 years,Unknown,0
2021,Del Norte,85 - 89 years,Yes,6
2021,Del Norte,90 - 94 years,No,6
2021,Del Norte,90 - 94 years,Unknown,0
2021,Del Norte,90 - 94 years,Yes,6
2021,Del Norte,95 - 99 years,No,6
2021,Del Norte,95 - 99 years,Unknown,0
2021,Del Norte,95 - 99 years,Yes,0
2021,Del Norte,100 years and over,No,0
2021,Del Norte,100 years and over,Unknown,0
2021,Del Norte,100 years and over,Yes,0
2021,El Dorado,Less than 1 year,No,6
2021,El Dorado,Less than 1 year,Unknown,0
2021,El Dorado,Less than 1 year,Yes,0
2021,El Dorado,1 - 4 years,No,6
2021,El Dorado,1 - 4 years,Unknown,0
2021,El Dorado,1 - 4 years,Yes,0
2021,El Dorado,5 - 9 years,No,0
2021,El Dorado,5 - 9 years,Unknown,0
2021,El Dorado,5 - 9 years,Yes,0
2021,El Dorado,10 - 14 years,No,6
2021,El Dorado,10 - 14 years,Unknown,0
2021,El Dorado,10 - 14 years,Yes,0
2021,El Dorado,15 - 19 years,No,6
2021,El Dorado,15 - 19 years,Unknown,0
2021,El Dorado,15 - 19 years,Yes,0
2021,El Dorado,20 - 24 years,No,6
