Year_of_Death,County_of_Residence,Age,Total_Deaths
2021,Lake,10 - 14 years,0
2021,Lake,15 - 19 years,6
2021,Lake,20 - 24 years,6
2021,Lake,25 - 29 years,6
2021,Lake,30 - 34 years,6
2021,Lake,35 - 39 years,6
2021,Lake,40 - 44 years,6
2021,Lake,45 - 49 years,6
2021,Lake,50 - 54 years,14
2021,Lake,55 - 59 years,22
2021,Lake,60 - 64 years,31
2021,Lake,65 - 69 years,26
2021,Lake,70 - 74 years,34
2021,Lake,75 - 79 years,57
2021,Lake,80 - 84 years,34
2021,Lake,85 - 89 years,22
2021,Lake,90 - 94 years,26
2021,Lake,95 - 99 years,12
2021,Lake,100 years and over,6
2021,Lassen,Less than 1 year,0
2021,Lassen,1 - 4 years,0
2021,Lassen,5 - 9 years,0
2021,Lassen,10 - 14 years,0
2021,Lassen,15 - 19 years,0
2021,Lassen,20 - 24 years,6
2021,Lassen,25 - 29 years,0
2021,Lassen,30 - 34 years,6
2021,Lassen,35 - 39 years,6
2021,Lassen,40 - 44 years,6
2021,Lassen,45 - 49 years,0
2021,Lassen,50 - 54 years,6
2021,Lassen,55 - 59 years,6
2021,Lassen,60 - 64 years,6
2021,Lassen,65 - 69 years,14
2021,Lassen,70 - 74 years,6
2021,Lassen,75 - 79 years,6
2021,Lassen,80 - 84 years,6
2021,Lassen,85 - 89 years,6
2021,Lassen,90 - 94 years,6
2021,Lassen,95 - 99 years,0
2021,Lassen,100 years and over,0
2021,Los Angeles,Less than 1 year,111
2021,Los Angeles,1 - 4 years,12
2021,Los Angeles,5 - 9 years,6
2021,Los Angeles,10 - 14 years,23
2021,Los Angeles,15 - 19 years,92
2021,Los Angeles,20 - 24 years,242
2021,Los Angeles,25 - 29 years,327
2021,Los Angeles,30 - 34 years,428
2021,Los Angeles,35 - 39 years,473
2021,Los Angeles,40 - 44 years,610
2021,Los Angeles,45 - 49 years,904
2021,Los Angeles,50 - 54 years,1388
2021,Los Angeles,55 - 59 years,2037
2021,Los Angeles,60 - 64 years,2831
2021,Los Angeles,65 - 69 years,3325
2021,Los Angeles,70 - 74 years,3707
2021,Los Angeles,75 - 79 years,3674
2021,Los Angeles,80 - 84 years,4068
2021,Los Angeles,85 - 89 years,4078
2021,Los Angeles,90 - 94 years,3450
2021,Los Angeles,95 - 99 years,1900
2021,Los Angeles,100 years and over,400
2021,Madera,Less than 1 year,6
2021,Madera,1 - 4 years,6
2021,Madera,5 - 9 years,0
2021,Madera,10 - 14 years,6
2021,Madera,15 - 19 years,0
2021,Madera,20 - 24 years,6
2021,Madera,25 - 29 years,6
2021,Madera,30 - 34 years,6
2021,Madera,35 - 39 years,6
2021,Madera,40 - 44 years,6
2021,Madera,45 - 49 years,15
2021,Madera,50 - 54 years,22
2021,Madera,55 - 59 years,31
2021,Madera,60 - 64 years,46
2021,Madera,65 - 69 years,54
2021,Madera,70 - 74 years,51
2021,Madera,75 - 79 years,59
2021,Madera,80 - 84 years,62
2021,Madera,85 - 89 years,45
2021,Madera,90 - 94 years,55
2021,Madera,95 - 99 years,13
2021,Madera,100 years and over,6
2021,Marin,Less than 1 year,6
2021,Marin,1 - 4 years,0
2021,Marin,5 - 9 years,0
2021,Marin,10 - 14 years,6
2021,Marin,15 - 19 years,6
2021,Marin,20 - 24 years,6
2021,Marin,25 - 29 years,6
2021,Marin,30 - 34 years,6
2021,Marin,35 - 39 years,11
2021,Marin,40 - 44 years,6
2021,Marin,45 - 49 years,6
2021,Marin,50 - 54 years,16
2021,Marin,55 - 59 years,24
2021,Marin,60 - 64 years,35
2021,Marin,65 - 69 years,55
2021,Marin,70 - 74 years,53
2021,Marin,75 - 79 years,84
2021,Marin,80 - 84 years,114
2021,Marin,85 - 89 years,131
2021,Marin,90 - 94 years,129
2021,Marin,95 - 99 years,74
2021,Marin,100 years and over,20
2021,Mariposa,Less than 1 year,0
2021,Mariposa,1 - 4 years,0
2021,Mariposa,5 - 9 years,0
2021,Mariposa,10 - 14 years,0
2021,Mariposa,15 - 19 years,0
2021,Mariposa,20 - 24 years,0
2021,Mariposa,25 - 29 years,0
2021,Mariposa,30 - 34 years,0
2021,Mariposa,35 - 39 years,6
2021,Mariposa,40 - 44 years,0
2021,Mariposa,45 - 49 years,6
2021,Mariposa,50 - 54 years,6
2021,Mariposa,55 - 59 years,6
2021,Mariposa,60 - 64 years,6
2021,Mariposa,65 - 69 years,6
2021,Mariposa,70 - 74 years,6
2021,Mariposa,75 - 79 years,6
2021,Mariposa,80 - 84 years,12
2021,Mariposa,85 - 89 years,6
2021,Mariposa,90 - 94 years,6
2021,Mariposa,95 - 99 years,6
2021,Mariposa,100 years and over,6
2021,Mendocino,Less than 1 year,6
2021,Mendocino,1 - 4 years,6
2021,Mendocino,5 - 9 years,0
2021,Mendocino,10 - 14 years,6
2021,Mendocino,15 - 19 years,6
2021,Mendocino,20 - 24 years,6
2021,Mendocino,25 - 29 years,6
2021,Mendocino,30 - 34 years,6
2021,Mendocino,35 - 39 years,6
2021,Mendocino,40 - 44 years,6
2021,Mendocino,45 - 49 years,6
2021,Mendocino,50 - 54 years,15
2021,Mendocino,55 - 59 years,21
2021,Mendocino,60 - 64 years,35
2021,Mendocino,65 - 69 years,40
2021,Mendocino,70 - 74 years,37
2021,Mendocino,75 - 79 years,43
2021,Mendocino,80 - 84 years,34
2021,Mendocino,85 - 89 years,41
