Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital
2021,Amador,Less than 1 year,Married (including SRDP),0
2021,Amador,Less than 1 year,Widowed,0
2021,Amador,Less than 1 year,Divorced,0
2021,Amador,Less than 1 year,Never Married,0
2021,Amador,Less than 1 year,Unknown,0
2021,Amador,1 - 4 years,Married (including SRDP),0
2021,Amador,1 - 4 years,Widowed,0
2021,Amador,1 - 4 years,Divorced,0
2021,Amador,1 - 4 years,Never Married,0
2021,Amador,1 - 4 years,Unknown,0
2021,Amador,5 - 9 years,Married (including SRDP),0
2021,Amador,5 - 9 years,Widowed,0
2021,Amador,5 - 9 years,Divorced,0
2021,Amador,5 - 9 years,Never Married,0
2021,Amador,5 - 9 years,Unknown,0
2021,Amador,10 - 14 years,Married (including SRDP),0
2021,Amador,10 - 14 years,Widowed,0
2021,Amador,10 - 14 years,Divorced,0
2021,Amador,10 - 14 years,Never Married,0
2021,Amador,10 - 14 years,Unknown,0
2021,Amador,15 - 19 years,Married (including SRDP),0
2021,Amador,15 - 19 years,Widowed,0
2021,Amador,15 - 19 years,Divorced,0
2021,Amador,15 - 19 years,Never Married,0
2021,Amador,15 - 19 years,Unknown,0
2021,Amador,20 - 24 years,Married (including SRDP),0
2021,Amador,20 - 24 years,Widowed,0
2021,Amador,20 - 24 years,Divorced,0
2021,Amador,20 - 24 years,Never Married,0
2021,Amador,20 - 24 years,Unknown,0
2021,Amador,25 - 29 years,Married (including SRDP),6
2021,Amador,25 - 29 years,Widowed,0
2021,Amador,25 - 29 years,Divorced,0
2021,Amador,25 - 29 years,Never Married,6
2021,Amador,25 - 29 years,Unknown,0
2021,Amador,30 - 34 years,Married (including SRDP),0
2021,Amador,30 - 34 years,Widowed,0
2021,Amador,30 - 34 years,Divorced,0
2021,Amador,30 - 34 years,Never Married,6
2021,Amador,30 - 34 years,Unknown,0
2021,Amador,35 - 39 years,Married (including SRDP),0
2021,Amador,35 - 39 years,Widowed,0
2021,Amador,35 - 39 years,Divorced,6
2021,Amador,35 - 39 years,Never Married,0
2021,Amador,35 - 39 years,Unknown,0
2021,Amador,40 - 44 years,Married (including SRDP),6
2021,Amador,40 - 44 years,Widowed,0
2021,Amador,40 - 44 years,Divorced,0
2021,Amador,40 - 44 years,Never Married,0
2021,Amador,40 - 44 years,Unknown,0
2021,Amador,45 - 49 years,Married (including SRDP),6
2021,Amador,45 - 49 years,Widowed,0
2021,Amador,45 - 49 years,Divorced,6
2021,Amador,45 - 49 years,Never Married,0
2021,Amador,45 - 49 years,Unknown,0
2021,Amador,50 - 54 years,Married (including SRDP),6
2021,Amador,50 - 54 years,Widowed,0
2021,Amador,50 - 54 years,Divorced,6
2021,Amador,50 - 54 years,Never Married,6
2021,Amador,50 - 54 years,Unknown,0
2021,Amador,55 - 59 years,Married (including SRDP),6
2021,Amador,55 - 59 years,Widowed,0
2021,Amador,55 - 59 years,Divorced,6
2021,Amador,55 - 59 years,Never Married,6
2021,Amador,55 - 59 years,Unknown,0
2021,Amador,60 - 64 years,Married (including SRDP),6
2021,Amador,60 - 64 years,Widowed,0
2021,Amador,60 - 64 years,Divorced,6
2021,Amador,60 - 64 years,Never Married,6
2021,Amador,60 - 64 years,Unknown,0
2021,Amador,65 - 69 years,Married (including SRDP),6
2021,Amador,65 - 69 years,Widowed,6
2021,Amador,65 - 69 years,Divorced,6
2021,Amador,65 - 69 years,Never Married,6
2021,Amador,65 - 69 years,Unknown,0
2021,Amador,70 - 74 years,Married (including SRDP),6
2021,Amador,70 - 74 years,Widowed,6
2021,Amador,70 - 74 years,Divorced,6
2021,Amador,70 - 74 years,Never Married,6
2021,Amador,70 - 74 years,Unknown,0
2021,Amador,75 - 79 years,Married (including SRDP),20
2021,Amador,75 - 79 years,Widowed,6
2021,Amador,75 - 79 years,Divorced,0
2021,Amador,75 - 79 years,Never Married,0
2021,Amador,75 - 79 years,Unknown,0
2021,Amador,80 - 84 years,Married (including SRDP),14
2021,Amador,80 - 84 years,Widowed,6
2021,Amador,80 - 84 years,Divorced,6
2021,Amador,80 - 84 years,Never Married,0
2021,Amador,80 - 84 years,Unknown,6
2021,Amador,85 - 89 years,Married (including SRDP),6
2021,Amador,85 - 89 years,Widowed,11
2021,Amador,85 - 89 years,Divorced,6
2021,Amador,85 - 89 years,Never Married,0
2021,Amador,85 - 89 years,Unknown,0
2021,Amador,90 - 94 years,Married (including SRDP),6
2021,Amador,90 - 94 years,Widowed,11
2021,Amador,90 - 94 years,Divorced,6
2021,Amador,90 - 94 years,Never Married,6
2021,Amador,90 - 94 years,Unknown,0
2021,Amador,95 - 99 years,Married (including SRDP),6
2021,Amador,95 - 99 years,Widowed,6
2021,Amador,95 - 99 years,Divorced,0
2021,Amador,95 - 99 years,Never Married,6
2021,Amador,95 - 99 years,Unknown,0
2021,Amador,100 years and over,Married (including SRDP),0
2021,Amador,100 years and over,Widowed,6
2021,Amador,100 years and over,Divorced,0
2021,Amador,100 years and over,Never Married,0
2021,Amador,100 years and over,Unknown,0
2021,Butte,Less than 1 year,Married (including SRDP),0
2021,Butte,Less than 1 year,Widowed,0
2021,Butte,Less than 1 year,Divorced,0
2021,Butte,Less than 1 year,Never Married,6
2021,Butte,Less than 1 year,Unknown,0
2021,Butte,1 - 4 years,Married (including SRDP),0
2021,Butte,1 - 4 years,Widowed,0
2021,Butte,1 - 4 years,Divorced,0
2021,Butte,1 - 4 years,Never Married,6
2021,Butte,1 - 4 years,Unknown,0
2021,Butte,5 - 9 years,Married (including SRDP),0
2021,Butte,5 - 9 years,Widowed,0
2021,Butte,5 - 9 years,Divorced,0
2021,Butte,5 - 9 years,Never Married,6
2021,Butte,5 - 9 years,Unknown,0
2021,Butte,10 - 14 years,Married (including SRDP),0
2021,Butte,10 - 14 years,Widowed,0
2021,Butte,10 - 14 years,Divorced,0
2021,Butte,10 - 14 years,Never Married,0
2021,Butte,10 - 14 years,Unknown,0
2021,Butte,15 - 19 years,Married (including SRDP),0
2021,Butte,15 - 19 years,Widowed,0
2021,Butte,15 - 19 years,Divorced,0
2021,Butte,15 - 19 years,Never Married,6
2021,Butte,15 - 19 years,Unknown,0
2021,Butte,20 - 24 years,Married (including SRDP),0
2021,Butte,20 - 24 years,Widowed,0
2021,Butte,20 - 24 years,Divorced,0
2021,Butte,20 - 24 years,Never Married,6
2021,Butte,20 - 24 years,Unknown,0
2021,Butte,25 - 29 years,Married (including SRDP),0
2021,Butte,25 - 29 years,Widowed,0
2021,Butte,25 - 29 years,Divorced,0
2021,Butte,25 - 29 years,Never Married,6
2021,Butte,25 - 29 years,Unknown,0
2021,Butte,30 - 34 years,Married (including SRDP),0
2021,Butte,30 - 34 years,Widowed,0
2021,Butte,30 - 34 years,Divorced,6
2021,Butte,30 - 34 years,Never Married,6
2021,Butte,30 - 34 years,Unknown,0
2021,Butte,35 - 39 years,Married (including SRDP),6
2021,Butte,35 - 39 years,Widowed,0
2021,Butte,35 - 39 years,Divorced,6
2021,Butte,35 - 39 years,Never Married,6
2021,Butte,35 - 39 years,Unknown,0
2021,Butte,40 - 44 years,Married (including SRDP),6
2021,Butte,40 - 44 years,Widowed,0
2021,Butte,40 - 44 years,Divorced,6
2021,Butte,40 - 44 years,Never Married,6
2021,Butte,40 - 44 years,Unknown,6
2021,Butte,45 - 49 years,Married (including SRDP),6
2021,Butte,45 - 49 years,Widowed,0
2021,Butte,45 - 49 years,Divorced,6
2021,Butte,45 - 49 years,Never Married,6
2021,Butte,45 - 49 years,Unknown,0
2021,Butte,50 - 54 years,Married (including SRDP),6
2021,Butte,50 - 54 years,Widowed,6
2021,Butte,50 - 54 years,Divorced,6
2021,Butte,50 - 54 years,Never Married,6
2021,Butte,50 - 54 years,Unknown,6
2021,Butte,55 - 59 years,Married (including SRDP),12
2021,Butte,55 - 59 years,Widowed,6
2021,Butte,55 - 59 years,Divorced,13
2021,Butte,55 - 59 years,Never Married,13
2021,Butte,55 - 59 years,Unknown,6
2021,Butte,60 - 64 years,Married (including SRDP),31
2021,Butte,60 - 64 years,Widowed,6
2021,Butte,60 - 64 years,Divorced,14
2021,Butte,60 - 64 years,Never Married,13
2021,Butte,60 - 64 years,Unknown,6
2021,Butte,65 - 69 years,Married (including SRDP),28
2021,Butte,65 - 69 years,Widowed,11
2021,Butte,65 - 69 years,Divorced,34
2021,Butte,65 - 69 years,Never Married,6
2021,Butte,65 - 69 years,Unknown,6
2021,Butte,70 - 74 years,Married (including SRDP),48
2021,Butte,70 - 74 years,Widowed,15
2021,Butte,70 - 74 years,Divorced,31
2021,Butte,70 - 74 years,Never Married,6
2021,Butte,70 - 74 years,Unknown,6
2021,Butte,75 - 79 years,Married (including SRDP),41
2021,Butte,75 - 79 years,Widowed,22
2021,Butte,75 - 79 years,Divorced,16
2021,Butte,75 - 79 years,Never Married,6
2021,Butte,75 - 79 years,Unknown,6
2021,Butte,80 - 84 years,Married (including SRDP),47
2021,Butte,80 - 84 years,Widowed,32
2021,Butte,80 - 84 years,Divorced,15
2021,Butte,80 - 84 years,Never Married,6
2021,Butte,80 - 84 years,Unknown,0
2021,Butte,85 - 89 years,Married (including SRDP),27
2021,Butte,85 - 89 years,Widowed,61
2021,Butte,85 - 89 years,Divorced,6
2021,Butte,85 - 89 years,Never Married,6
2021,Butte,85 - 89 years,Unknown,6
2021,Butte,90 - 94 years,Married (including SRDP),20
2021,Butte,90 - 94 years,Widowed,62
2021,Butte,90 - 94 years,Divorced,11
2021,Butte,90 - 94 years,Never Married,6
2021,Butte,90 - 94 years,Unknown,0
2021,Butte,95 - 99 years,Married (including SRDP),6
2021,Butte,95 - 99 years,Widowed,36
2021,Butte,95 - 99 years,Divorced,6
2021,Butte,95 - 99 years,Never Married,6
2021,Butte,95 - 99 years,Unknown,0
2021,Butte,100 years and over,Married (including SRDP),0
2021,Butte,100 years and over,Widowed,6
2021,Butte,100 years and over,Divorced,0
2021,Butte,100 years and over,Never Married,0
2021,Butte,100 years and over,Unknown,0
2021,Calaveras,Less than 1 year,Married (including SRDP),0
2021,Calaveras,Less than 1 year,Widowed,0
2021,Calaveras,Less than 1 year,Divorced,0
2021,Calaveras,Less than 1 year,Never Married,0
2021,Calaveras,Less than 1 year,Unknown,0
2021,Calaveras,1 - 4 years,Married (including SRDP),0
2021,Calaveras,1 - 4 years,Widowed,0
2021,Calaveras,1 - 4 years,Divorced,0
2021,Calaveras,1 - 4 years,Never Married,0
2021,Calaveras,1 - 4 years,Unknown,0
2021,Calaveras,5 - 9 years,Married (including SRDP),0
2021,Calaveras,5 - 9 years,Widowed,0
2021,Calaveras,5 - 9 years,Divorced,0
2021,Calaveras,5 - 9 years,Never Married,0
2021,Calaveras,5 - 9 years,Unknown,0
2021,Calaveras,10 - 14 years,Married (including SRDP),0
2021,Calaveras,10 - 14 years,Widowed,0
2021,Calaveras,10 - 14 years,Divorced,0
2021,Calaveras,10 - 14 years,Never Married,0
2021,Calaveras,10 - 14 years,Unknown,0
2021,Calaveras,15 - 19 years,Married (including SRDP),0
2021,Calaveras,15 - 19 years,Widowed,0
2021,Calaveras,15 - 19 years,Divorced,0
2021,Calaveras,15 - 19 years,Never Married,0
2021,Calaveras,15 - 19 years,Unknown,0
2021,Calaveras,20 - 24 years,Married (including SRDP),0
2021,Calaveras,20 - 24 years,Widowed,0
2021,Calaveras,20 - 24 years,Divorced,6
2021,Calaveras,20 - 24 years,Never Married,6
2021,Calaveras,20 - 24 years,Unknown,0
2021,Calaveras,25 - 29 years,Married (including SRDP),0
2021,Calaveras,25 - 29 years,Widowed,0
2021,Calaveras,25 - 29 years,Divorced,0
2021,Calaveras,25 - 29 years,Never Married,6
2021,Calaveras,25 - 29 years,Unknown,0
2021,Calaveras,30 - 34 years,Married (including SRDP),0
2021,Calaveras,30 - 34 years,Widowed,0
2021,Calaveras,30 - 34 years,Divorced,0
2021,Calaveras,30 - 34 years,Never Married,6
2021,Calaveras,30 - 34 years,Unknown,0
2021,Calaveras,35 - 39 years,Married (including SRDP),6
2021,Calaveras,35 - 39 years,Widowed,0
2021,Calaveras,35 - 39 years,Divorced,0
2021,Calaveras,35 - 39 years,Never Married,6
2021,Calaveras,35 - 39 years,Unknown,0
2021,Calaveras,40 - 44 years,Married (including SRDP),0
