Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex
2021,El Dorado,90 - 94 years,Female,44
2021,El Dorado,90 - 94 years,Male,28
2021,El Dorado,95 - 99 years,Female,34
2021,El Dorado,95 - 99 years,Male,17
2021,El Dorado,100 years and over,Female,6
2021,El Dorado,100 years and over,Male,6
2021,Fresno,Less than 1 year,Female,6
2021,Fresno,Less than 1 year,Male,16
2021,Fresno,1 - 4 years,Female,6
2021,Fresno,1 - 4 years,Male,6
2021,Fresno,5 - 9 years,Female,6
2021,Fresno,5 - 9 years,Male,6
2021,Fresno,10 - 14 years,Female,6
2021,Fresno,10 - 14 years,Male,6
2021,Fresno,15 - 19 years,Female,6
2021,Fresno,15 - 19 years,Male,13
2021,Fresno,20 - 24 years,Female,6
2021,Fresno,20 - 24 years,Male,26
2021,Fresno,25 - 29 years,Female,6
2021,Fresno,25 - 29 years,Male,28
2021,Fresno,30 - 34 years,Female,19
2021,Fresno,30 - 34 years,Male,37
2021,Fresno,35 - 39 years,Female,23
2021,Fresno,35 - 39 years,Male,47
2021,Fresno,40 - 44 years,Female,25
2021,Fresno,40 - 44 years,Male,49
2021,Fresno,45 - 49 years,Female,32
2021,Fresno,45 - 49 years,Male,66
2021,Fresno,50 - 54 years,Female,49
2021,Fresno,50 - 54 years,Male,97
2021,Fresno,55 - 59 years,Female,69
2021,Fresno,55 - 59 years,Male,124
2021,Fresno,60 - 64 years,Female,104
2021,Fresno,60 - 64 years,Male,208
2021,Fresno,65 - 69 years,Female,114
2021,Fresno,65 - 69 years,Male,190
2021,Fresno,70 - 74 years,Female,156
2021,Fresno,70 - 74 years,Male,204
2021,Fresno,75 - 79 years,Female,153
2021,Fresno,75 - 79 years,Male,221
2021,Fresno,80 - 84 years,Female,205
2021,Fresno,80 - 84 years,Male,175
2021,Fresno,85 - 89 years,Female,210
2021,Fresno,85 - 89 years,Male,159
2021,Fresno,90 - 94 years,Female,188
2021,Fresno,90 - 94 years,Male,136
2021,Fresno,95 - 99 years,Female,104
2021,Fresno,95 - 99 years,Male,54
2021,Fresno,100 years and over,Female,23
2021,Fresno,100 years and over,Male,6
2021,Glenn,Less than 1 year,Female,6
2021,Glenn,Less than 1 year,Male,6
2021,Glenn,1 - 4 years,Female,0
2021,Glenn,1 - 4 years,Male,0
2021,Glenn,5 - 9 years,Female,0
2021,Glenn,5 - 9 years,Male,0
2021,Glenn,10 - 14 years,Female,6
2021,Glenn,10 - 14 years,Male,0
2021,Glenn,15 - 19 years,Female,0
2021,Glenn,15 - 19 years,Male,0
2021,Glenn,20 - 24 years,Female,0
2021,Glenn,20 - 24 years,Male,0
2021,Glenn,25 - 29 years,Female,0
2021,Glenn,25 - 29 years,Male,6
2021,Glenn,30 - 34 years,Female,0
2021,Glenn,30 - 34 years,Male,6
2021,Glenn,35 - 39 years,Female,0
2021,Glenn,35 - 39 years,Male,0
2021,Glenn,40 - 44 years,Female,6
2021,Glenn,40 - 44 years,Male,0
2021,Glenn,45 - 49 years,Female,0
2021,Glenn,45 - 49 years,Male,6
2021,Glenn,50 - 54 years,Female,6
2021,Glenn,50 - 54 years,Male,6
2021,Glenn,55 - 59 years,Female,6
2021,Glenn,55 - 59 years,Male,6
2021,Glenn,60 - 64 years,Female,6
2021,Glenn,60 - 64 years,Male,6
2021,Glenn,65 - 69 years,Female,6
2021,Glenn,65 - 69 years,Male,6
2021,Glenn,70 - 74 years,Female,6
2021,Glenn,70 - 74 years,Male,6
2021,Glenn,75 - 79 years,Female,6
2021,Glenn,75 - 79 years,Male,6
2021,Glenn,80 - 84 years,Female,6
2021,Glenn,80 - 84 years,Male,14
2021,Glenn,85 - 89 years,Female,6
2021,Glenn,85 - 89 years,Male,6
2021,Glenn,90 - 94 years,Female,6
2021,Glenn,90 - 94 years,Male,6
2021,Glenn,95 - 99 years,Female,6
2021,Glenn,95 - 99 years,Male,6
2021,Glenn,100 years and over,Female,6
2021,Glenn,100 years and over,Male,0
2021,Humboldt,Less than 1 year,Female,0
2021,Humboldt,Less than 1 year,Male,0
2021,Humboldt,1 - 4 years,Female,0
2021,Humboldt,1 - 4 years,Male,0
2021,Humboldt,5 - 9 years,Female,0
2021,Humboldt,5 - 9 years,Male,0
2021,Humboldt,10 - 14 years,Female,0
2021,Humboldt,10 - 14 years,Male,0
2021,Humboldt,15 - 19 years,Female,6
2021,Humboldt,15 - 19 years,Male,0
2021,Humboldt,20 - 24 years,Female,0
2021,Humboldt,20 - 24 years,Male,0
2021,Humboldt,25 - 29 years,Female,6
2021,Humboldt,25 - 29 years,Male,6
2021,Humboldt,30 - 34 years,Female,6
2021,Humboldt,30 - 34 years,Male,6
2021,Humboldt,35 - 39 years,Female,6
2021,Humboldt,35 - 39 years,Male,6
2021,Humboldt,40 - 44 years,Female,6
2021,Humboldt,40 - 44 years,Male,6
2021,Humboldt,45 - 49 years,Female,6
2021,Humboldt,45 - 49 years,Male,6
2021,Humboldt,50 - 54 years,Female,6
2021,Humboldt,50 - 54 years,Male,15
2021,Humboldt,55 - 59 years,Female,13
2021,Humboldt,55 - 59 years,Male,14
2021,Humboldt,60 - 64 years,Female,12
2021,Humboldt,60 - 64 years,Male,35
2021,Humboldt,65 - 69 years,Female,21
2021,Humboldt,65 - 69 years,Male,30
2021,Humboldt,70 - 74 years,Female,20
2021,Humboldt,70 - 74 years,Male,43
2021,Humboldt,75 - 79 years,Female,22
2021,Humboldt,75 - 79 years,Male,38
2021,Humboldt,80 - 84 years,Female,32
2021,Humboldt,80 - 84 years,Male,31
2021,Humboldt,85 - 89 years,Female,31
2021,Humboldt,85 - 89 years,Male,34
2021,Humboldt,90 - 94 years,Female,23
2021,Humboldt,90 - 94 years,Male,18
2021,Humboldt,95 - 99 years,Female,12
2021,Humboldt,95 - 99 years,Male,6
2021,Humboldt,100 years and over,Female,6
2021,Humboldt,100 years and over,Male,6
2021,Imperial,Less than 1 year,Female,0
2021,Imperial,Less than 1 year,Male,0
2021,Imperial,1 - 4 years,Female,6
2021,Imperial,1 - 4 years,Male,0
2021,Imperial,5 - 9 years,Female,0
2021,Imperial,5 - 9 years,Male,0
2021,Imperial,10 - 14 years,Female,0
2021,Imperial,10 - 14 years,Male,0
2021,Imperial,15 - 19 years,Female,6
2021,Imperial,15 - 19 years,Male,0
2021,Imperial,20 - 24 years,Female,6
2021,Imperial,20 - 24 years,Male,6
2021,Imperial,25 - 29 years,Female,6
2021,Imperial,25 - 29 years,Male,6
